id,bank,close_price,high_price,history,low_price,open_price,volume
205,"BIST Bankalar",13172.2,13237.2,"Apr 24, 2024",12946.4,12946.4,0
206,"BIST Bankalar",12725.3,13252.3,"Apr 25, 2024",12674.9,13210.3,0
207,"BIST Bankalar",13155.1,13313,"Apr 26, 2024",12796.5,12796.5,0
210,"BIST Bankalar",13404.9,13451.7,"Apr 29, 2024",13198.2,13253.9,0
211,"BIST Bankalar",13409,13708.8,"Apr 30, 2024",13348.9,13397.9,0
212,"BIST Bankalar",9784.6,10087.8,"Mar 1, 2024",9784.5,10069,0
215,"BIST Bankalar",9463.1,9886.7,"Mar 4, 2024",9463.1,9825.1,0
216,"BIST Bankalar",9388.7,9636.3,"Mar 5, 2024",9348.8,9476.9,0
217,"BIST Bankalar",9211.5,9433.9,"Mar 6, 2024",9162.9,9321.8,0
218,"BIST Bankalar",9711.7,9711.7,"Mar 7, 2024",9260.8,9260.8,0
219,"BIST Bankalar",10008.3,10052.7,"Mar 8, 2024",9652.1,9729.4,0
222,"BIST Bankalar",10041.7,10482.7,"Mar 11, 2024",10041.7,10478.6,0
223,"BIST Bankalar",10235.7,10397.4,"Mar 12, 2024",9993.2,10042.1,0
224,"BIST Bankalar",9836.3,10256.1,"Mar 13, 2024",9732.5,10248.9,0
225,"BIST Bankalar",9629.7,9919.6,"Mar 14, 2024",9583.9,9873.2,0
226,"BIST Bankalar",9536.1,9698.2,"Mar 15, 2024",9487.8,9638.3,0
229,"BIST Bankalar",9599.5,9757.3,"Mar 18, 2024",9516.8,9550.2,0
230,"BIST Bankalar",10069.8,10085.1,"Mar 19, 2024",9574,9598.6,0
231,"BIST Bankalar",10158.5,10328.1,"Mar 20, 2024",9960.1,10042,0
232,"BIST Bankalar",10665.4,10863.4,"Mar 21, 2024",10215.7,10252.8,0
233,"BIST Bankalar",10763.8,10902.7,"Mar 22, 2024",10612.6,10673.1,0
236,"BIST Bankalar",10920.4,11393.6,"Mar 25, 2024",10646.5,10755.4,0
