id,bank,close_price,high_price,history,low_price,open_price,volume
207,"Garanti BBVA",126.2,127.3,"Jul 29, 2024",123.2,123.5,14740586
208,"Garanti BBVA",118.6,127.9,"Jul 30, 2024",117.9,126.4,26532833
209,"Garanti BBVA",123.8,125.7,"Jul 31, 2024",119.5,120,34789954
210,"Garanti BBVA",108.6,109.5,"Jun 3, 2024",104.6,107.3,23553566
211,"Garanti BBVA",104.3,110.9,"Jun 4, 2024",103.9,108.6,20963793
212,"Garanti BBVA",104.6,106.4,"Jun 5, 2024",103.1,104.7,15641930
213,"Garanti BBVA",102.7,106.5,"Jun 6, 2024",102.7,105.1,12058485
214,"Garanti BBVA",99.95,104,"Jun 7, 2024",99.15,103.3,11584441
215,"Garanti BBVA",0,0,"Jun 8, 2024",0,0,0
216,"Garanti BBVA",0,0,"Jun 9, 2024",0,0,0
217,"Garanti BBVA",98.45,100.6,"Jun 10, 2024",97.75,99.95,13330130
218,"Garanti BBVA",102.7,103.4,"Jun 11, 2024",98.2,98.25,16620547
219,"Garanti BBVA",103,104.3,"Jun 12, 2024",100.7,102.7,15913691
220,"Garanti BBVA",103,106.2,"Jun 13, 2024",102.2,104,14295018
221,"Garanti BBVA",104.9,108.5,"Jun 14, 2024",103.2,105.7,23642853
222,"Garanti BBVA",0,0,"Jun 15, 2024",0,0,0
223,"Garanti BBVA",0,0,"Jun 16, 2024",0,0,0
224,"Garanti BBVA",0,0,"Jun 17, 2024",0,0,0
225,"Garanti BBVA",0,0,"Jun 18, 2024",0,0,0
226,"Garanti BBVA",0,0,"Jun 19, 2024",0,0,0
227,"Garanti BBVA",110.8,110.8,"Jun 20, 2024",105.3,106.8,21840551
228,"Garanti BBVA",111.8,113.5,"Jun 21, 2024",110.3,111,21941605
229,"Garanti BBVA",0,0,"Jun 22, 2024",0,0,0
230,"Garanti BBVA",0,0,"Jun 23, 2024",0,0,0
231,"Garanti BBVA",114.1,114.4,"Jun 24, 2024",111.6,112,15789670
232,"Garanti BBVA",113.1,115.2,"Jun 25, 2024",111.3,114.5,15014759
233,"Garanti BBVA",113,114.1,"Jun 26, 2024",111.5,113.1,13031571
234,"Garanti BBVA",116.7,116.8,"Jun 27, 2024",112.8,113.5,19261025
235,"Garanti BBVA",112.4,118.8,"Jun 28, 2024",110.8,117.6,23597131
236,"Garanti BBVA",83.6,84.2,"May 2, 2024",82.05,83.1,24252253
237,"Garanti BBVA",84.95,85.35,"May 3, 2024",83.5,84.2,17804107
238,"Garanti BBVA",0,0,"May 4, 2024",0,0,0
239,"Garanti BBVA",0,0,"May 5, 2024",0,0,0
240,"Garanti BBVA",84.3,85.5,"May 6, 2024",83.05,84.95,16108282
241,"Garanti BBVA",86.85,86.95,"May 7, 2024",83.1,84.35,24629413
242,"Garanti BBVA",86,88.4,"May 8, 2024",85.1,86.95,13202458
243,"Garanti BBVA",89.25,89.85,"May 9, 2024",86.7,86.75,26190963
244,"Garanti BBVA",86.5,89.95,"May 10, 2024",86.5,89.4,15264443
245,"Garanti BBVA",0,0,"May 11, 2024",0,0,0
246,"Garanti BBVA",0,0,"May 12, 2024",0,0,0
